央视频道,#genre#
CCTV-8,http://183.223.157.33:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://8.138.7.223/tv/mgitv.php?id=41
CCTV-8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV-8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://drive.mxmy.net:8888/udp/239.3.1.175:8001
CCTV-8,http://182.150.23.74:808/hls/8/index.m3u8
CCTV-8,http://gmxw.7766.org:808/hls/96/index.m3u8
CCTV-9,http://8.138.7.223/tv/mgitv.php?id=48
CCTV-9,http://8.138.7.223/tv/mgitv.php?id=47
CCTV-9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV-9,http://drive.mxmy.net:8888/udp/239.3.1.62:8112
CCTV-9,http://182.150.23.74:808/hls/9/index.m3u8
CCTV-9,http://8.138.7.223/tv/mgitv.php?id=49
CCTV-9,http://112.46.85.60:8009/hls/509/index.m3u8
CCTV-9,http://8.138.7.223/tv/mgitv.php?id=50
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-10,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://8.138.7.223/tv/mgitv.php?id=53
CCTV-10,http://8.138.7.223/tv/mgitv.php?id=52
CCTV-10,http://124.116.183.146:9901/tsfile/live/0010_1.m3u8
CCTV-10,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV-10,http://drive.mxmy.net:8888/udp/239.3.1.63:8116
CCTV-10,http://59.39.89.130:60901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.130.84.106:8154/tsfile/live/0010_1.m3u8
CCTV-10,http://8.138.7.223/tv/mgitv.php?id=56
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11,http://8.138.7.223/tv/mgitv.php?id=58
CCTV-11,http://8.138.7.223/tv/mgitv.php?id=60
CCTV-11,http://183.223.157.33:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV-11,http://drive.mxmy.net:8888/udp/239.3.1.152:8120
CCTV-11,http://8.138.7.223/tv/mgitv.php?id=57
CCTV-11,http://182.150.23.74:808/hls/11/index.m3u8
CCTV-11,http://8.138.7.223/tv/mgitv.php?id=59
CCTV-11,http://121.19.134.253:808/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-12,http://8.138.7.223/tv/mgitv.php?id=64
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-12,http://drive.mxmy.net:8888/udp/239.3.1.64:8124
CCTV-12,http://59.39.89.130:60901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://112.27.235.94:8000/hls/13/index.m3u8
